storeId,storeTypeId,totalOrders,totalOrdersUSD,cantidadMetodosDePago,warehouseId,city,country,cityId,countryId,locationId,storeStatusId,isActive,hasChiperSuppliedPOS,socialClass,numberOfEmployees,mes,ultimaOrden
127,85,1,4671.96,1,45,Cali,Colombia,2,6,3,4,1,false,,1,09,25-09-2021
234,81,1,85552.58,1,57,Bogotá,Colombia,1,6,2,1,1,false,,,09,30-08-2021
249,81,2,25442.06,1,57,Bogotá,Colombia,1,6,2,4,1,false,,,09,15-09-2021
289,82,1,5746.59,1,57,Bogotá,Colombia,1,6,2,4,1,false,,,09,23-09-2021
332,81,47,1121529.66,1,57,Bogotá,Colombia,1,6,2,4,0,false,,,09,25-09-2021
397,81,3,52531.53,1,57,Bogotá,Colombia,1,6,2,4,1,false,,,09,29-09-2021
447,81,1,43283.19,1,57,Bogotá,Colombia,1,6,2,5,1,false,3,0,09,12-08-2021
455,81,1,11022.87,1,57,Bogotá,Colombia,1,6,2,4,0,false,3,,09,08-09-2021
459,86,4,102852.06,1,57,Bogotá,Colombia,1,6,2,4,1,false,3,,09,25-09-2021
617,82,6,104708.08,1,57,Bogotá,Colombia,1,6,2,4,1,false,3,2,09,28-09-2021
625,1,1,27832.74,1,45,Cali,Colombia,2,6,3,4,1,false,3,,09,10-09-2021
630,81,2,142284.6,2,57,Bogotá,Colombia,1,6,2,4,1,false,3,,09,09-09-2021
678,82,1,39300.17,1,57,Bogotá,Colombia,1,6,2,4,1,false,2,,09,02-09-2021
775,81,1,11712.39,1,57,Bogotá,Colombia,1,6,2,4,0,false,,1,09,24-09-2021
919,86,1,13300.16,1,57,Bogotá,Colombia,1,6,2,4,1,false,,1,09,10-09-2021
959,81,5,333488.63,2,57,Bogotá,Colombia,1,6,2,4,1,true,,2,09,12-09-2021
1000,82,1,11034.7,1,57,Bogotá,Colombia,1,6,2,4,0,false,,1,09,22-09-2021
1035,81,3,216377.75,1,57,Bogotá,Colombia,1,6,2,4,1,true,,0,09,21-09-2021
1043,81,1,6204.21,1,57,Bogotá,Colombia,1,6,2,5,1,false,,0,09,13-07-2021
1109,82,1,6328.35,1,57,Bogotá,Colombia,1,6,2,4,0,false,,,09,17-09-2021
1212,81,1,78980.89,1,45,Cali,Colombia,2,6,3,4,1,false,,,09,25-09-2021
1215,81,1,19871.6,1,57,Bogotá,Colombia,1,6,2,4,1,false,,0,09,02-09-2021
1245,81,1,53504.5,1,57,Bogotá,Colombia,1,6,2,4,1,false,,2,09,10-09-2021
1276,85,2,37864.88,1,57,Bogotá,Colombia,1,6,2,4,1,false,,1,09,07-09-2021
1554,81,2,9455.09,1,57,Bogotá,Colombia,1,6,2,4,1,false,,1,09,20-09-2021
1670,81,1,15379.6,1,57,Bogotá,Colombia,1,6,2,4,1,false,,,09,17-09-2021
1767,82,3,153666.24,1,57,Bogotá,Colombia,1,6,2,4,1,false,,1,09,23-09-2021
100016,84,1,26821.76,1,45,Cali,Colombia,2,6,3,4,1,false,,,09,09-09-2021
100084,81,1,35649.21,1,45,Cali,Colombia,2,6,3,4,1,true,,1,09,25-09-2021
100101,81,1,11582.37,1,57,Bogotá,Colombia,1,6,2,4,1,false,,,09,19-09-2021
100117,82,2,86374.56,1,57,Bogotá,Colombia,1,6,2,4,1,false,,,09,13-09-2021
100171,82,1,10329.06,1,45,Cali,Colombia,2,6,3,4,1,false,,,09,01-09-2021
100180,81,2,40875.02,1,57,Bogotá,Colombia,1,6,2,4,1,false,,2,09,17-09-2021
100240,82,1,6217.24,1,57,Bogotá,Colombia,1,6,2,4,1,false,,,09,16-09-2021
100312,81,1,12672.58,1,57,Bogotá,Colombia,1,6,2,4,1,false,,2,09,22-09-2021
100445,81,2,14213.47,1,57,Bogotá,Colombia,1,6,2,4,1,false,,2,09,06-09-2021
100446,86,2,48299.47,1,57,Bogotá,Colombia,1,6,2,4,1,false,,4,09,28-09-2021
100450,82,1,6006.0,1,57,Bogotá,Colombia,1,6,2,4,1,false,,2,09,07-09-2021
100519,81,3,51593.84,1,57,Bogotá,Colombia,1,6,2,4,1,false,,,09,22-09-2021
100633,81,3,23136.89,1,57,Bogotá,Colombia,1,6,2,4,1,false,,1,09,31-08-2021
100660,81,1,3297.88,1,57,Bogotá,Colombia,1,6,2,4,1,false,,3,09,21-09-2021
100702,81,1,80035.86,1,57,Bogotá,Colombia,1,6,2,5,1,false,,2,09,20-07-2021
100913,82,2,116633.77,1,50,Medellín,Colombia,7,6,7,4,0,false,,,09,21-09-2021
100925,82,3,42109.57,1,57,Bogotá,Colombia,1,6,2,5,0,false,,,09,30-07-2021
100939,81,3,116499.68,1,50,Medellín,Colombia,7,6,7,4,0,false,,,09,09-09-2021
101113,81,4,462769.15,1,50,Medellín,Colombia,7,6,7,4,0,false,,,09,14-09-2021
101133,81,1,18864.2,1,45,Cali,Colombia,2,6,3,4,0,false,,,09,27-09-2021
101178,86,4,89908.96,1,50,Medellín,Colombia,7,6,7,4,0,false,,,09,17-09-2021
101208,81,1,11246.74,1,50,Medellín,Colombia,7,6,7,4,0,false,,,09,03-09-2021
101376,81,3,50716.99,1,45,Cali,Colombia,2,6,3,4,0,false,,,09,09-09-2021
101427,81,6,784669.29,1,50,Medellín,Colombia,7,6,7,4,0,true,,,09,28-09-2021
101469,87,4,1116464.31,1,55,Ciudad de México,Mexico,11,7,11,4,0,false,,,09,22-09-2021
101729,81,1,10602.16,1,50,Medellín,Colombia,7,6,7,4,0,false,,,09,04-09-2021
101863,81,1,11173.85,1,50,Medellín,Colombia,7,6,7,4,0,false,,,09,01-09-2021
101934,87,1,85943.52,1,55,Ciudad de México,Mexico,11,7,11,4,0,false,,,09,10-09-2021
101942,87,1,45124.22,1,55,Ciudad de México,Mexico,11,7,11,4,0,false,,,09,08-09-2021
102096,87,1,48432.09,1,55,Ciudad de México,Mexico,11,7,11,4,0,false,,,09,18-09-2021
102107,87,2,13900.42,1,55,Ciudad de México,Mexico,11,7,11,4,0,false,,,09,08-09-2021
102125,81,1,23031.03,1,57,Bogotá,Colombia,1,6,2,4,0,false,,,09,28-09-2021
102136,82,4,60823.59,2,50,Medellín,Colombia,7,6,7,4,0,false,,,09,18-09-2021
102172,87,3,744489.87,1,55,Ciudad de México,Mexico,11,7,11,4,0,false,,,09,22-09-2021
102180,82,1,17592.41,1,57,Bogotá,Colombia,1,6,2,5,0,false,,,09,24-09-2020
102181,87,3,246723.2,1,55,Ciudad de México,Mexico,11,7,11,4,0,false,,,09,27-09-2021
102329,87,2,230251.79,2,55,Ciudad de México,Mexico,11,7,11,4,0,false,,,09,23-09-2021
102329,87,2,64291.09,2,55,Ciudad de México,Mexico,11,7,11,4,0,true,,,09,23-09-2021
102400,81,2,26333.55,2,50,Medellín,Colombia,7,6,7,,0,false,,,09,04-08-2021
102523,81,3,6739.2,1,57,Bogotá,Colombia,1,6,2,4,0,false,,,09,15-09-2021
102639,84,2,22591.58,1,57,Bogotá,Colombia,1,6,2,4,0,false,,,09,23-09-2021
102661,87,3,74303.44,1,55,Ciudad de México,Mexico,11,7,11,4,0,false,,,09,23-09-2021
102668,81,2,23105.83,1,50,Medellín,Colombia,7,6,7,4,0,false,,,09,06-09-2021
102763,81,1,4975.31,1,50,Medellín,Colombia,7,6,7,4,0,false,,,09,29-09-2021
102784,81,3,114118.38,1,57,Bogotá,Colombia,1,6,2,4,0,false,,,09,26-09-2021
102947,81,2,50117.67,1,57,Bogotá,Colombia,1,6,2,4,0,false,,,09,30-01-2020
103023,81,2,22364.56,1,57,Bogotá,Colombia,1,6,2,4,0,false,,,09,29-11-2019
103024,81,1,12221.12,1,50,Medellín,Colombia,7,6,7,,0,false,,,09,14-02-2020
103087,82,1,6916.67,1,45,Cali,Colombia,2,6,3,4,0,false,,,09,18-09-2021
103319,92,3,280132.37,1,55,Ciudad de México,Mexico,11,7,11,4,0,false,,,09,24-09-2021
103432,81,4,145843.26,1,50,Medellín,Colombia,7,6,7,4,0,false,,,09,26-09-2021
103536,81,4,42637.6,1,50,Medellín,Colombia,7,6,7,4,0,false,,2,09,13-09-2021
103683,81,1,14660.34,1,57,Bogotá,Colombia,1,6,2,4,0,false,,2,09,02-09-2021
103702,86,1,80074.94,1,57,Bogotá,Colombia,1,6,2,4,0,false,,1,09,11-09-2021
103820,81,1,45751.2,1,57,Bogotá,Colombia,1,6,2,4,0,false,,,09,21-09-2021
103827,81,1,60551.41,1,57,Bogotá,Colombia,1,6,2,4,0,false,,1,09,01-09-2021
103907,82,1,27038.71,1,57,Bogotá,Colombia,1,6,2,4,0,false,,,09,01-09-2021
103908,82,4,68763.03,1,57,Bogotá,Colombia,1,6,2,4,0,false,,,09,22-09-2021
104001,81,1,6074.58,1,57,Bogotá,Colombia,1,6,2,4,0,false,,,09,21-09-2021
104113,87,4,379839.27,1,55,Ciudad de México,Mexico,11,7,11,4,0,false,,,09,12-09-2021
104227,87,1,396366.19,1,55,Ciudad de México,Mexico,11,7,11,4,0,false,,,09,22-09-2021
